,Color,VehicleModel,VehicleDesc,ModelYear,VehicleType,DateStolen,Location
0,Silver,Trailer,BST2021D,2021,Trailer,5/11/2021,Waitemata
1,Silver,Trailer,OUTBACK BOATS FT470,2021,Boat Trailer,13/12/2021,Eastern
2,Silver,Trailer,ASD JETSKI,2021,Boat Trailer,13/02/2022,Auckland City
3,Silver,Trailer,MSC 7X4,2021,Trailer,13/11/2021,Central
4,Silver,Trailer,D-MAX 8X5,2018,Trailer,10/01/2022,Waitemata
5,Black,Yamaha,YZF-R6T,2005,Roadbike,31/12/2021,Counties/Manukau
6,Silver,Trailer,CAAR TRANSPORTER,2021,Trailer,12/11/2021,Canterbury
7,Silver,Trailer,BOAT,2001,Boat Trailer,22/02/2022,Wellington
8,Silver,Briford,"7X4'6"" 1000KG",2021,Trailer,25/02/2022,Southern
9,Silver,Briford,8X4 TANDEM,2020,Trailer,3/01/2022,Canterbury
10,Silver,Trailer,HOMEBUILT,2018,Trailer,15/10/2021,Central
11,Silver,Factory Built,BRENT SMITH TRAILERS,2018,Trailer,28/02/2022,Waitemata
12,Black,Vespa,ET2,2004,Moped,19/12/2021,Auckland City
13,Blue,Honda,TODAY,2007,Moped,23/01/2022,Auckland City
14,Black,Suzuki,DL650,2007,Roadbike,28/02/2022,Northland
15,Silver,Trailer,JOBMATE,2021,Trailer,8/02/2022,Wellington
16,Silver,Trailer,BSTB85B,2021,Trailer,10/10/2021,Auckland City
17,White,Trailer,BOAT,2004,Boat Trailer,7/10/2021,Bay of Plenty
18,White,Trailer,DOMESTIC TRAILER,2014,Trailer,24/02/2022,Bay of Plenty
19,Silver,Trailer,APS SEADOO,2018,Boat Trailer,8/11/2021,Canterbury
20,Silver,Triumph,THUNDERBIRD,2002,Roadbike,11/02/2022,Northland
21,Silver,Factory Built,BRENT SMITH TRAILERS,2000,Trailer,22/11/2021,Bay of Plenty
22,Silver,Trailer,LOCAL,2015,Trailer,27/01/2022,Canterbury
23,Silver,Trailer,CT DIG 25,2021,Trailer - Heavy,12/11/2021,Waitemata
24,Silver,Trailer,CHOOKS 2.4X1.6 TRANS,2018,Trailer,8/10/2021,Central
25,Silver,Trailer,EASY TILT,2017,Trailer,4/03/2022,Central
26,Silver,Trailer,IFOR WILLIAMS CT177,2018,Trailer,27/02/2022,Waikato
27,Silver,Trailer,CONDOR,2018,Trailer,1/02/2022,Wellington
28,Silver,Trailer,HOMEBUILT,2018,Trailer,1/11/2021,Bay of Plenty
29,Silver,Trailer,PRO COMMERCIAL,2018,Trailer,21/12/2021,Auckland City
30,Grey,Trailer,FACTORY,2018,Trailer,3/01/2022,Counties/Manukau
31,Green,Homebuilt,TRAILER,1998,Trailer,21/10/2021,Canterbury
32,Grey,Trailer,JFK JETSKI,2017,Boat Trailer,15/02/2022,Bay of Plenty
33,Silver,Trailer,BST 2021D,2021,Trailer,5/01/2022,Auckland City
34,Silver,Briford,10X5 TANDEM,2021,Trailer,5/04/2022,Canterbury
35,Grey,Trailer,HOMEMADE,2018,Trailer,17/02/2022,Waikato
36,Silver,Trailer,COMPASS-KH63,2018,Trailer,23/02/2022,Counties/Manukau
37,Silver,Trailer,TRAYLA,2018,Trailer,17/01/2022,Wellington
38,Silver,Trailer,PRESCOTT,2021,Trailer - Heavy,3/12/2021,Bay of Plenty
39,Black,Homebuilt,TRAILER,2021,Trailer,27/12/2021,Wellington
40,Silver,Trailer,TRAYLA,2021,Trailer,2/03/2022,Central
41,Silver,Trailer,HOMEMADE,2002,Trailer,2/01/2022,Waitemata
42,Silver,Trailer,BST58OR,2018,Boat Trailer,24/02/2022,Counties/Manukau
43,Silver,Homebuilt,TRAILER,2018,Trailer,28/02/2022,Canterbury
44,Silver,Trailer,DOMESTIC TRAILER,2014,Trailer,19/10/2021,Bay of Plenty
45,Silver,Factory Built,TGB PALIO,2005,Moped,9/11/2021,Central
46,Grey,Trailer,TANDEM,2004,Trailer - Heavy,5/11/2021,Counties/Manukau
47,Silver,Custombuilt,TRAILER,2021,Trailer,2/03/2022,Auckland City
48,Grey,Trailer,DOMESTIC,2021,Trailer,22/10/2021,Counties/Manukau
49,Silver,Trailer,M J TANDEM AXLE,2021,Trailer,20/01/2022,Canterbury
50,Silver,Briford,8X4 CAGE,2021,Trailer,7/12/2021,Auckland City
51,White,Elddis,RIVIERA 482,2003,Caravan,13/10/2021,Canterbury
52,Blue,Yamaha,XTZ660BG,1995,Roadbike,21/03/2022,Tasman
53,Green,Kawasaki,NINJA,1999,Roadbike,15/02/2022,Bay of Plenty
54,Silver,Trailer,PRESCOTT,2021,Trailer - Heavy,6/02/2022,Bay of Plenty
55,Yellow,Trailer,BRIFORD,2000,Trailer - Heavy,5/03/2022,Counties/Manukau
56,Silver,Trailer,ASD JETSKI,2021,Boat Trailer,21/02/2022,Auckland City
57,Yellow,Trailer,BRIFORD 8X4'6COVERED,1997,Trailer,5/11/2021,Eastern
58,Black,Trailer,HOMEBUILT,2021,Trailer,6/03/2022,Auckland City
59,Red,Trailer,OLEARY,1983,Trailer,2/01/2022,Central
60,Silver,Trailer,TRAILERWORLD 9X5 HSB,2021,Trailer,26/03/2022,Waitemata
61,Silver,Trailer,SINGLE AXLE,2018,Trailer,10/10/2021,Auckland City
62,Yellow,Honda,TODAY 50,2008,Moped,19/12/2021,Bay of Plenty
63,Black,Trailer,IFOR WILLIAMS,2018,Trailer,6/01/2022,Bay of Plenty
64,Silver,Trailer,PRESCOTT,2014,Trailer,24/03/2022,Bay of Plenty
65,Silver,Trailer,SPORTLINE,2014,Boat Trailer,21/10/2021,Eastern
66,Blue,Ford,FOCUS,2006,Hatchback,13/11/2021,Eastern
67,Silver,Trailer,TILTING FLAT DECK,2014,Trailer - Heavy,8/11/2021,Eastern
68,Silver,Trailer,PMTRAILER,2014,Trailer,24/01/2022,Canterbury
69,Silver,Hoskings,BOAT TRAILER,2014,Boat Trailer,4/04/2022,Waikato
70,Silver,Trailer,TRAYLA,2014,Trailer,24/02/2022,Central
71,Silver,Trailer,ELITE,2014,Trailer,4/02/2022,Counties/Manukau
72,Silver,Trailer,ELITE 7X4,2014,Trailer,14/01/2022,Canterbury
73,White,Oxford,PIONEER,1969,Caravan,27/11/2021,Bay of Plenty
74,White,BMW,323I,2007,Saloon,23/03/2022,Counties/Manukau
75,Silver,Trailer,7 X 4 STD,2015,Trailer,5/01/2022,Waitemata
76,Grey,Trailer,HOMEBUILT,2011,Trailer,2/04/2022,Waitemata
77,Silver,Trailer,ENDURO,2015,Boat Trailer,6/01/2022,Bay of Plenty
78,Silver,Trailer,TRAYLA,2015,Trailer,28/02/2022,Central
79,Silver,Trailer,ELITE 8X5,2015,Trailer,14/01/2022,Canterbury
80,Silver,Trailer,COMPASS D105,2015,Trailer,18/10/2021,Waitemata
